"metabolite","missing_percentage"
"1-meadoyl-GPC (20:3n9) [P, nt-ms]",33.452380952381
"1-oleoyl-GPG (18:1) [P, nt-ms]",35.5952380952381
"1,3-dimethylurate [P, nt-ms]",38.8095238095238
"1,3,7-trimethylurate [P, nt-ms]",77.0238095238095
"1,6-anhydroglucose [P, nt-ms]",51.1904761904762
"11-ketoetiocholanolone glucuronide [P, nt-ms]",32.6190476190476
"17alpha-hydroxypregnanolone glucuronide [P, nt-ms]",43.3333333333333
"2-hydroxyacetaminophen sulfate [P, nt-ms]",67.0238095238095
"3-(3-hydroxyphenyl)propionate [P, nt-ms]",43.3333333333333
"3-hydroxycotinine glucuronide [P, nt-ms]",98.452380952381
"3-hydroxypropanoate [P, nt-ms]",63.9285714285714
"3-hydroxysebacate [P, nt-ms]",51.6666666666667
"3-methoxycatechol sulfate (1) [P, nt-ms]",89.5238095238095
"3-methyl catechol sulfate (1) [P, nt-ms]",49.6428571428571
"3,4-methyleneheptanoate [P, nt-ms]",34.7619047619048
"3,4-methyleneheptanoylcarnitine [P, nt-ms]",51.9047619047619
"4-acetamidophenol [P, nt-ms]",98.452380952381
"4-acetamidophenylglucuronide [P, nt-ms]",79.7619047619048
"4-acetaminophen sulfate [P, nt-ms]",73.3333333333333
"4-acetylphenol sulfate [P, nt-ms]",55.2380952380952
"4-hydroxyphenylacetate [P, nt-ms]",74.1666666666667
"4-imidazoleacetate [P, nt-ms]",68.9285714285714
"5-acetylamino-6-formylamino-3-methyluracil [P, nt-ms]",54.1666666666667
"5-hydroxyhexanoate [P, nt-ms]",65.3571428571429
"5,6-dihydrouracil [P, nt-ms]",57.3809523809524
"7-hydroxyindole sulfate [P, nt-ms]",46.4285714285714
"adenosine 5'-diphosphate (ADP) [P, nt-ms]",48.3333333333333
"alpha-CEHC sulfate [P, nt-ms]",53.8095238095238
"anthranilate [P, nt-ms]",64.4047619047619
"arabinose [P, nt-ms]",56.6666666666667
"benzoylcarnitine [P, nt-ms]",77.0238095238095
"bradykinin [P, nt-ms]",36.1904761904762
"bradykinin, des-arg(9) [P, nt-ms]",35.2380952380952
"bradykinin, hydroxy-pro(3) [P, nt-ms]",60.5952380952381
"cadaverine [P, nt-ms]",58.5714285714286
"campesterol [P, nt-ms]",59.2857142857143
"carboxyibuprofen [P, nt-ms]",90.4761904761905
"carnosine [P, nt-ms]",32.8571428571429
"chenodeoxycholate [P, nt-ms]",30.952380952381
"corticosterone [P, nt-ms]",45.2380952380952
"cotinine [P, nt-ms]",60.7142857142857
"cotinine N-oxide [P, nt-ms]",92.3809523809524
"cytidine [P, nt-ms]",33.8095238095238
"dihydroferulic acid [P, nt-ms]",39.7619047619048
"equol glucuronide [P, nt-ms]",92.6190476190476
"equol sulfate [P, nt-ms]",92.6190476190476
"estrone 3-sulfate [P, nt-ms]",59.2857142857143
"eugenol sulfate [P, nt-ms]",77.5
"ferulic acid 4-sulfate [P, nt-ms]",90.3571428571429
"gamma-CEHC glucuronide [P, nt-ms]",51.4285714285714
"gentisate [P, nt-ms]",39.6428571428571
"glutathione, oxidized (GSSG) [P, nt-ms]",87.5
"glutathione, reduced (GSH) [P, nt-ms]",92.7380952380952
"glycerophosphoinositol [P, nt-ms]",77.8571428571429
"glycocholate glucuronide (1) [P, nt-ms]",50.3571428571429
"glycodeoxycholate [P, nt-ms]",45.2380952380952
"glycylvaline [P, nt-ms]",74.8809523809524
"guanidinosuccinate [P, nt-ms]",52.0238095238095
"heme [P, nt-ms]",86.0714285714286
"hexanoylglycine [P, nt-ms]",40.952380952381
"hydroquinone sulfate [P, nt-ms]",50.952380952381
"hydroxycotinine [P, nt-ms]",73.8095238095238
"I-urobilinogen [P, nt-ms]",50.1190476190476
"indole-3-carboxylic acid [P, nt-ms]",31.3095238095238
"inosine 5'-monophosphate (IMP) [P, nt-ms]",45.4761904761905
"isoeugenol sulfate [P, nt-ms]",92.6190476190476
"L-urobilin [P, nt-ms]",69.1666666666667
"maltotetraose [P, nt-ms]",62.2619047619048
"N-(2-furoyl)glycine [P, nt-ms]",35.3571428571429
"N-acetyl-S-allyl-L-cysteine [P, nt-ms]",47.2619047619048
"N-acetylhistamine [P, nt-ms]",94.5238095238095
"N-oleoyltaurine [P, nt-ms]",62.3809523809524
"N-palmitoyltaurine [P, nt-ms]",48.6904761904762
"N-stearoyltaurine [P, nt-ms]",60.7142857142857
"N6-methyladenosine [P, nt-ms]",57.0238095238095
"phenylalanylalanine [P, nt-ms]",68.8095238095238
"phenylalanylglycine [P, nt-ms]",74.5238095238095
"propyl 4-hydroxybenzoate sulfate [P, nt-ms]",76.1904761904762
"pyrraline [P, nt-ms]",43.452380952381
"riboflavin (Vitamin B2) [P, nt-ms]",58.5714285714286
"S-methylmethionine [P, nt-ms]",60.2380952380952
"solanidine [P, nt-ms]",85.1190476190476
"sphinganine [P, nt-ms]",60.1190476190476
"suberate (octanedioate) [P, nt-ms]",32.6190476190476
"sucrose [P, nt-ms]",37.1428571428571
"tauro-beta-muricholate [P, nt-ms]",59.4047619047619
"taurodeoxycholate [P, nt-ms]",37.7380952380952
"taurolithocholate [P, nt-ms]",68.6904761904762
"tauroursodeoxycholate [P, nt-ms]",54.4047619047619
"thymine [P, nt-ms]",44.8809523809524
"umbelliferone sulfate [P, nt-ms]",94.8809523809524
"vanillic alcohol sulfate [P, nt-ms]",41.1904761904762
"xylose [P, nt-ms]",71.9047619047619
"NEFA [P, chem.]",82.1428571428571
